,2020-CHARTER COMMUNICATIONS-Annual,max
Biodiversity and Land Use,0,0
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,0,0
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,1,1
Packaging Material and Waste,0,0
Product Carbon Footprint,1,1
Raw Material Sourcing,0,0
Toxic Emissions and Waste,0,0
Water Stress,1,1
Accounting,0,0
Board,0,0
Business Ethics,4,4
Ownership and Control,0,0
Pay,0,0
Tax Transparency,1,1
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,22,22
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,0,0
Health and Safety,3,3
Human Capital Development,5,5
Labor Management,12,12
Opportunities in Nutrition and Health,0,0
Privacy and Data Security,15,15
Product Safety and Quality,1,1
Responsible Investment,0,0
Supply Chain Labor Standards,7,7
Not ESG,43,43
