,2020-ARCHER DANIELS MIDLAND-10K,2020-ARCHER DANIELS MIDLAND-Annual,2020-ARCHER DANIELS MIDLAND-CSR,max
Biodiversity and Land Use,114,189,187,189
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,2,7,0,7
Financing Environmental Impact,8,2,0,8
Opportunities in Clean Tech,0,4,0,4
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,1,0,1,1
Packaging Material and Waste,45,74,43,74
Product Carbon Footprint,0,0,0,0
Raw Material Sourcing,10,3,0,10
Toxic Emissions and Waste,0,0,0,0
Water Stress,7,24,53,53
Accounting,3,7,0,7
Board,1,1,0,1
Business Ethics,47,93,25,93
Ownership and Control,2,1,0,2
Pay,0,0,0,0
Tax Transparency,201,7,0,201
Access to Communications,1,0,0,1
Access to Finance,10,5,0,10
Access to Health Care,0,0,0,0
Chemical Safety,3,2,1,3
Community Relations,59,146,49,146
Controversial Sourcing,0,1,1,1
Financial Product Safety,1,0,0,1
Health and Demographic Risk,0,1,0,1
Health and Safety,28,64,34,64
Human Capital Development,51,262,16,262
Labor Management,73,202,16,202
Opportunities in Nutrition and Health,16,21,2,21
Privacy and Data Security,23,51,15,51
Product Safety and Quality,29,61,18,61
Responsible Investment,1,2,0,2
Supply Chain Labor Standards,123,217,41,217
Not ESG,629,1341,34,1341
