,2020-BANCO SANTANDER-Annual,2020-BANCO SANTANDER-ESG,max
Biodiversity and Land Use,325,6,325
Carbon Emissions,1,0,1
Climate Change Vulnerability,1,0,1
Electronic Waste,31,1,31
Financing Environmental Impact,134,0,134
Opportunities in Clean Tech,12,1,12
Opportunities in Green Building,1,0,1
Opportunities in Renewable Energy,33,0,33
Packaging Material and Waste,59,1,59
Product Carbon Footprint,3,0,3
Raw Material Sourcing,15,1,15
Toxic Emissions and Waste,6,0,6
Water Stress,136,2,136
Accounting,11,1,11
Board,0,0,0
Business Ethics,415,4,415
Ownership and Control,31,1,31
Pay,0,0,0
Tax Transparency,33,0,33
Access to Communications,1,0,1
Access to Finance,21,0,21
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,363,3,363
Controversial Sourcing,8,0,8
Financial Product Safety,12,2,12
Health and Demographic Risk,8,0,8
Health and Safety,388,1,388
Human Capital Development,312,2,312
Labor Management,1600,24,1600
Opportunities in Nutrition and Health,54,3,54
Privacy and Data Security,276,3,276
Product Safety and Quality,532,7,532
Responsible Investment,10,0,10
Supply Chain Labor Standards,556,10,556
Not ESG,5477,28,5477
