,2020-U.S. BANCORP-ESG,2020-U.S. BANCORP-Annual,max
Biodiversity and Land Use,47,25,47
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,3,82,82
Financing Environmental Impact,0,80,80
Opportunities in Clean Tech,0,20,20
Opportunities in Green Building,0,9,9
Opportunities in Renewable Energy,2,4,4
Packaging Material and Waste,3,4,4
Product Carbon Footprint,0,3,3
Raw Material Sourcing,1,8,8
Toxic Emissions and Waste,1,0,1
Water Stress,20,1,20
Accounting,0,19,19
Board,0,1,1
Business Ethics,75,88,88
Ownership and Control,0,4,4
Pay,0,0,0
Tax Transparency,0,21,21
Access to Communications,0,3,3
Access to Finance,0,46,46
Access to Health Care,0,1,1
Chemical Safety,0,4,4
Community Relations,100,168,168
Controversial Sourcing,0,1,1
Financial Product Safety,0,3,3
Health and Demographic Risk,0,3,3
Health and Safety,22,26,26
Human Capital Development,122,80,122
Labor Management,50,255,255
Opportunities in Nutrition and Health,4,76,76
Privacy and Data Security,58,81,81
Product Safety and Quality,9,42,42
Responsible Investment,0,4,4
Supply Chain Labor Standards,31,106,106
Not ESG,55,1391,1391
