,2020-SIEMENS-Annual,2020-SIEMENS-Sustainability,max
Biodiversity and Land Use,32,117,117
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,8,2,8
Financing Environmental Impact,11,0,11
Opportunities in Clean Tech,4,0,4
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,3,3
Packaging Material and Waste,27,53,53
Product Carbon Footprint,0,0,0
Raw Material Sourcing,5,1,5
Toxic Emissions and Waste,1,1,1
Water Stress,29,67,67
Accounting,1,0,1
Board,0,0,0
Business Ethics,52,90,90
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,6,0,6
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,59,69,69
Controversial Sourcing,0,0,0
Financial Product Safety,3,0,3
Health and Demographic Risk,1,0,1
Health and Safety,108,76,108
Human Capital Development,54,43,54
Labor Management,204,122,204
Opportunities in Nutrition and Health,5,3,5
Privacy and Data Security,49,53,53
Product Safety and Quality,132,66,132
Responsible Investment,0,0,0
Supply Chain Labor Standards,110,86,110
Not ESG,2073,218,2073
