,2020-CHINA UNITED NETWORK COMMUNICATIONS-CSR,2020-CHINA UNITED NETWORK COMMUNICATIONS-Annual,2020-CHINA UNITED NETWORK COMMUNICATIONS-ESG,max
Biodiversity and Land Use,22,10,14,22
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,13,1,1,13
Financing Environmental Impact,1,5,0,5
Opportunities in Clean Tech,0,0,0,0
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,3,1,0,3
Packaging Material and Waste,19,2,6,19
Product Carbon Footprint,1,0,2,2
Raw Material Sourcing,4,1,0,4
Toxic Emissions and Waste,2,0,0,2
Water Stress,18,6,12,18
Accounting,0,0,0,0
Board,0,0,0,0
Business Ethics,25,48,19,48
Ownership and Control,0,2,0,2
Pay,0,0,0,0
Tax Transparency,1,8,0,8
Access to Communications,3,2,1,3
Access to Finance,0,1,0,1
Access to Health Care,0,0,0,0
Chemical Safety,0,0,1,1
Community Relations,69,42,57,69
Controversial Sourcing,0,0,0,0
Financial Product Safety,0,0,0,0
Health and Demographic Risk,1,0,0,1
Health and Safety,40,20,35,40
Human Capital Development,13,21,69,69
Labor Management,208,172,21,208
Opportunities in Nutrition and Health,1,0,1,1
Privacy and Data Security,153,78,87,153
Product Safety and Quality,77,59,15,77
Responsible Investment,0,1,0,1
Supply Chain Labor Standards,44,29,12,44
Not ESG,454,1034,107,1034
