,2020-JOHNSON CONTROLS INTERNATIONAL-Sustainability,2020-JOHNSON CONTROLS INTERNATIONAL-10K,max
Biodiversity and Land Use,135,39,135
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,4,9,9
Financing Environmental Impact,0,11,11
Opportunities in Clean Tech,3,1,3
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,9,1,9
Packaging Material and Waste,95,36,95
Product Carbon Footprint,2,0,2
Raw Material Sourcing,6,6,6
Toxic Emissions and Waste,9,2,9
Water Stress,78,21,78
Accounting,0,5,5
Board,0,0,0
Business Ethics,84,66,84
Ownership and Control,0,2,2
Pay,0,0,0
Tax Transparency,1,10,10
Access to Communications,0,3,3
Access to Finance,0,6,6
Access to Health Care,0,0,0
Chemical Safety,1,9,9
Community Relations,103,111,111
Controversial Sourcing,0,3,3
Financial Product Safety,0,1,1
Health and Demographic Risk,0,1,1
Health and Safety,96,74,96
Human Capital Development,105,51,105
Labor Management,42,98,98
Opportunities in Nutrition and Health,8,3,8
Privacy and Data Security,24,55,55
Product Safety and Quality,49,57,57
Responsible Investment,0,3,3
Supply Chain Labor Standards,62,119,119
Not ESG,72,983,983
