,2020-E.ON-Sustainability,2020-E.ON-Annual,max
Biodiversity and Land Use,323,103,323
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,2,29,29
Financing Environmental Impact,2,15,15
Opportunities in Clean Tech,2,3,3
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,29,27,29
Packaging Material and Waste,90,44,90
Product Carbon Footprint,2,9,9
Raw Material Sourcing,1,27,27
Toxic Emissions and Waste,3,9,9
Water Stress,282,193,282
Accounting,0,4,4
Board,0,0,0
Business Ethics,101,54,101
Ownership and Control,1,8,8
Pay,0,0,0
Tax Transparency,0,3,3
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,1,5,5
Community Relations,109,63,109
Controversial Sourcing,0,0,0
Financial Product Safety,0,2,2
Health and Demographic Risk,0,1,1
Health and Safety,174,116,174
Human Capital Development,82,63,82
Labor Management,265,265,265
Opportunities in Nutrition and Health,1,4,4
Privacy and Data Security,128,54,128
Product Safety and Quality,159,139,159
Responsible Investment,0,0,0
Supply Chain Labor Standards,150,107,150
Not ESG,655,2818,2818
