,2020-ZURICH INSURANCE GROUP-Annual,max
Biodiversity and Land Use,194,194
Carbon Emissions,0,0
Climate Change Vulnerability,2,2
Electronic Waste,2,2
Financing Environmental Impact,14,14
Opportunities in Clean Tech,2,2
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,20,20
Product Carbon Footprint,2,2
Raw Material Sourcing,1,1
Toxic Emissions and Waste,1,1
Water Stress,52,52
Accounting,2,2
Board,0,0
Business Ethics,98,98
Ownership and Control,3,3
Pay,0,0
Tax Transparency,4,4
Access to Communications,1,1
Access to Finance,1,1
Access to Health Care,0,0
Chemical Safety,1,1
Community Relations,234,234
Controversial Sourcing,1,1
Financial Product Safety,4,4
Health and Demographic Risk,2,2
Health and Safety,175,175
Human Capital Development,158,158
Labor Management,299,299
Opportunities in Nutrition and Health,14,14
Privacy and Data Security,89,89
Product Safety and Quality,124,124
Responsible Investment,3,3
Supply Chain Labor Standards,136,136
Not ESG,2118,2118
