,2020-SBERBANK-Annual,2020-SBERBANK-Sustainability,max
Biodiversity and Land Use,10,22,22
Carbon Emissions,0,0,0
Climate Change Vulnerability,1,0,1
Electronic Waste,15,2,15
Financing Environmental Impact,86,6,86
Opportunities in Clean Tech,1,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,1,1
Packaging Material and Waste,2,16,16
Product Carbon Footprint,0,0,0
Raw Material Sourcing,2,2,2
Toxic Emissions and Waste,0,0,0
Water Stress,4,9,9
Accounting,6,0,6
Board,1,0,1
Business Ethics,38,23,38
Ownership and Control,7,1,7
Pay,0,0,0
Tax Transparency,11,2,11
Access to Communications,0,0,0
Access to Finance,24,1,24
Access to Health Care,0,0,0
Chemical Safety,1,0,1
Community Relations,19,31,31
Controversial Sourcing,2,0,2
Financial Product Safety,6,2,6
Health and Demographic Risk,2,0,2
Health and Safety,25,39,39
Human Capital Development,6,16,16
Labor Management,137,119,137
Opportunities in Nutrition and Health,1,0,1
Privacy and Data Security,26,43,43
Product Safety and Quality,34,24,34
Responsible Investment,1,0,1
Supply Chain Labor Standards,30,24,30
Not ESG,878,281,878
