,2020-MEDTRONIC-Annual,max
Biodiversity and Land Use,90,90
Carbon Emissions,0,0
Climate Change Vulnerability,0,0
Electronic Waste,2,2
Financing Environmental Impact,0,0
Opportunities in Clean Tech,0,0
Opportunities in Green Building,0,0
Opportunities in Renewable Energy,3,3
Packaging Material and Waste,43,43
Product Carbon Footprint,1,1
Raw Material Sourcing,2,2
Toxic Emissions and Waste,0,0
Water Stress,49,49
Accounting,0,0
Board,0,0
Business Ethics,104,104
Ownership and Control,0,0
Pay,0,0
Tax Transparency,0,0
Access to Communications,0,0
Access to Finance,0,0
Access to Health Care,0,0
Chemical Safety,0,0
Community Relations,138,138
Controversial Sourcing,0,0
Financial Product Safety,0,0
Health and Demographic Risk,1,1
Health and Safety,322,322
Human Capital Development,164,164
Labor Management,70,70
Opportunities in Nutrition and Health,7,7
Privacy and Data Security,80,80
Product Safety and Quality,175,175
Responsible Investment,0,0
Supply Chain Labor Standards,137,137
Not ESG,83,83
