,2020-COCA COLA-10K,2020-COCA COLA-ESG,2020-COCA COLA-Sustainability,max
Biodiversity and Land Use,60,108,91,108
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,1,1,0,1
Financing Environmental Impact,10,0,1,10
Opportunities in Clean Tech,0,1,1,1
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,1,2,1,2
Packaging Material and Waste,125,125,80,125
Product Carbon Footprint,0,2,1,2
Raw Material Sourcing,9,1,1,9
Toxic Emissions and Waste,0,0,0,0
Water Stress,44,105,61,105
Accounting,8,0,0,8
Board,1,0,0,1
Business Ethics,86,36,8,86
Ownership and Control,3,0,0,3
Pay,0,0,0,0
Tax Transparency,15,2,0,15
Access to Communications,0,0,0,0
Access to Finance,2,0,0,2
Access to Health Care,0,0,0,0
Chemical Safety,3,0,0,3
Community Relations,128,100,64,128
Controversial Sourcing,2,0,0,2
Financial Product Safety,7,0,0,7
Health and Demographic Risk,5,0,0,5
Health and Safety,33,32,29,33
Human Capital Development,93,53,13,93
Labor Management,144,72,38,144
Opportunities in Nutrition and Health,6,6,1,6
Privacy and Data Security,66,18,8,66
Product Safety and Quality,76,32,12,76
Responsible Investment,1,0,0,1
Supply Chain Labor Standards,382,146,59,382
Not ESG,1439,139,39,1439
