,2020-WESTPAC BANKING-Annual,2020-WESTPAC BANKING-Sustainability,max
Biodiversity and Land Use,87,89,89
Carbon Emissions,0,0,0
Climate Change Vulnerability,1,0,1
Electronic Waste,7,0,7
Financing Environmental Impact,113,4,113
Opportunities in Clean Tech,2,1,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,4,2,4
Packaging Material and Waste,13,4,13
Product Carbon Footprint,3,0,3
Raw Material Sourcing,1,0,1
Toxic Emissions and Waste,1,0,1
Water Stress,37,38,38
Accounting,1,0,1
Board,0,0,0
Business Ethics,210,21,210
Ownership and Control,1,0,1
Pay,0,0,0
Tax Transparency,27,0,27
Access to Communications,0,0,0
Access to Finance,8,1,8
Access to Health Care,0,0,0
Chemical Safety,2,0,2
Community Relations,297,117,297
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,2,0,2
Health and Safety,128,19,128
Human Capital Development,154,49,154
Labor Management,283,30,283
Opportunities in Nutrition and Health,10,0,10
Privacy and Data Security,112,25,112
Product Safety and Quality,96,18,96
Responsible Investment,5,0,5
Supply Chain Labor Standards,185,36,185
Not ESG,2502,84,2502
