,2020-WALGREENS BOOTS ALLIANCE-Annual,2020-WALGREENS BOOTS ALLIANCE-CSR,2020-WALGREENS BOOTS ALLIANCE-10K,max
Biodiversity and Land Use,12,87,12,87
Carbon Emissions,0,0,0,0
Climate Change Vulnerability,0,0,0,0
Electronic Waste,1,0,1,1
Financing Environmental Impact,6,0,6,6
Opportunities in Clean Tech,0,0,0,0
Opportunities in Green Building,0,0,0,0
Opportunities in Renewable Energy,0,1,0,1
Packaging Material and Waste,28,131,28,131
Product Carbon Footprint,0,0,0,0
Raw Material Sourcing,3,2,3,3
Toxic Emissions and Waste,0,0,0,0
Water Stress,1,18,1,18
Accounting,3,0,3,3
Board,1,0,1,1
Business Ethics,97,47,97,97
Ownership and Control,0,0,0,0
Pay,0,0,0,0
Tax Transparency,6,0,6,6
Access to Communications,0,0,0,0
Access to Finance,2,0,2,2
Access to Health Care,0,0,0,0
Chemical Safety,4,1,4,4
Community Relations,164,167,164,167
Controversial Sourcing,0,0,0,0
Financial Product Safety,1,0,1,1
Health and Demographic Risk,0,0,0,0
Health and Safety,159,249,159,249
Human Capital Development,71,163,71,163
Labor Management,136,69,136,136
Opportunities in Nutrition and Health,28,8,28,28
Privacy and Data Security,72,43,72,72
Product Safety and Quality,64,40,64,64
Responsible Investment,0,0,0,0
Supply Chain Labor Standards,318,134,318,318
Not ESG,1052,93,1052,1052
