,2020-KRAFT HEINZ-10K,2020-KRAFT HEINZ-ESG,max
Biodiversity and Land Use,10,183,183
Carbon Emissions,0,1,1
Climate Change Vulnerability,0,0,0
Electronic Waste,0,3,3
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,1,1
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,4,4
Packaging Material and Waste,6,115,115
Product Carbon Footprint,0,0,0
Raw Material Sourcing,0,4,4
Toxic Emissions and Waste,0,0,0
Water Stress,1,52,52
Accounting,1,0,1
Board,0,0,0
Business Ethics,9,50,50
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,0,0
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,4,169,169
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,1,36,36
Human Capital Development,0,41,41
Labor Management,6,42,42
Opportunities in Nutrition and Health,1,11,11
Privacy and Data Security,5,6,6
Product Safety and Quality,9,44,44
Responsible Investment,0,1,1
Supply Chain Labor Standards,26,175,175
Not ESG,47,67,67
