,2020-PHOENIX PHARMA-Annual,2020-PHOENIX PHARMA-Sustainability,max
Biodiversity and Land Use,6,156,156
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,0,0
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,0,0
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,6,6
Packaging Material and Waste,7,28,28
Product Carbon Footprint,0,2,2
Raw Material Sourcing,0,0,0
Toxic Emissions and Waste,0,0,0
Water Stress,1,45,45
Accounting,0,0,0
Board,0,0,0
Business Ethics,11,16,16
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,1,1
Access to Communications,0,0,0
Access to Finance,0,0,0
Access to Health Care,0,0,0
Chemical Safety,0,0,0
Community Relations,9,130,130
Controversial Sourcing,0,0,0
Financial Product Safety,1,0,1
Health and Demographic Risk,0,0,0
Health and Safety,38,36,38
Human Capital Development,10,65,65
Labor Management,59,70,70
Opportunities in Nutrition and Health,2,1,2
Privacy and Data Security,8,24,24
Product Safety and Quality,27,25,27
Responsible Investment,0,0,0
Supply Chain Labor Standards,48,97,97
Not ESG,102,100,102
