,2020-TJX-10K,2020-TJX-CSR,max
Biodiversity and Land Use,4,123,123
Carbon Emissions,0,0,0
Climate Change Vulnerability,0,0,0
Electronic Waste,0,0,0
Financing Environmental Impact,0,0,0
Opportunities in Clean Tech,0,2,2
Opportunities in Green Building,0,0,0
Opportunities in Renewable Energy,0,6,6
Packaging Material and Waste,1,89,89
Product Carbon Footprint,1,0,1
Raw Material Sourcing,0,1,1
Toxic Emissions and Waste,0,1,1
Water Stress,1,52,52
Accounting,0,0,0
Board,0,0,0
Business Ethics,3,103,103
Ownership and Control,0,0,0
Pay,0,0,0
Tax Transparency,0,2,2
Access to Communications,0,0,0
Access to Finance,0,1,1
Access to Health Care,0,0,0
Chemical Safety,0,3,3
Community Relations,15,217,217
Controversial Sourcing,0,0,0
Financial Product Safety,0,0,0
Health and Demographic Risk,0,0,0
Health and Safety,4,14,14
Human Capital Development,4,235,235
Labor Management,10,86,86
Opportunities in Nutrition and Health,0,6,6
Privacy and Data Security,4,6,6
Product Safety and Quality,2,35,35
Responsible Investment,0,0,0
Supply Chain Labor Standards,26,144,144
Not ESG,40,59,59
