,Pillar,Key_issue,Count,Weight,Percentage,MinMaxScaler
0,Environment,Biodiversity and Land Use,273,121.57260000000001,0.049779502036280794,0.129986372792985
1,Environment,Carbon Emissions,474,244.5462,0.1001326619720622,0.8585892878303116
2,Environment,Climate Change Vulnerability,489,190.8213,0.07813429417414573,0.5402760990638702
3,Environment,Electronic Waste,175,99.6335,0.040796248629475576,0.0
4,Environment,Financing Environmental Impact,433,207.7348,0.08505974947978726,0.6404864320417112
5,Environment,Opportunities in Clean Tech,416,181.44580000000002,0.07429537223498221,0.4847274558596991
6,Environment,Opportunities in Green Building,466,209.5426,0.08579997699635915,0.6511974167555398
7,Environment,Opportunities in Renewable Energy,365,143.8744,0.05891126773441283,0.26212169688351705
8,Environment,Packaging Material and Waste,517,265.0605,0.10853251225594916,0.9801339021211043
9,Environment,Product Carbon Footprint,567,239.6171,0.09811437706668853,0.8293849982225382
10,Environment,Raw Material Sourcing,634,268.4135,0.10990544226096385,1.0
11,Environment,Toxic Emissions and Waste,272,157.94939999999997,0.06467446183539159,0.3455142789430026
12,Environment,Water Stress,234,112.01039999999999,0.045864133323500735,0.07333155587154871
13,Governance,Accounting,259,146.6786,0.21562572262429047,0.7298874303388663
14,Governance,Board,113,72.05460000000001,0.10592428066128394,0.24467987575919345
15,Governance,Business Ethics,363,188.2214,0.2766959555678581,1.0
16,Governance,Ownership and Control,122,73.17569999999999,0.10757236018777308,0.2519693026116707
17,Governance,Pay,288,165.6927,0.24357751008715503,0.8535176962524245
18,Governance,Tax Transparency,86,34.423300000000005,0.05060417087163867,0.0
19,Social,Access to Communications,73,43.115199999999994,0.018087051191298345,0.0
20,Social,Access to Finance,118,65.17280000000001,0.02734032939381585,0.05054209198286794
21,Social,Access to Health Care,128,65.38850000000001,0.027430816668418845,0.051036340189413734
22,Social,Chemical Safety,262,145.72210000000004,0.061131180706653285,0.235110228577766
23,Social,Community Relations,138,86.2295,0.03617372482790433,0.09879075313619623
24,Social,Controversial Sourcing,345,159.43990000000002,0.06688586932764988,0.2665427647286883
25,Social,Financial Product Safety,395,175.7074,0.0737101703921108,0.30381760339342534
26,Social,Health and Demographic Risk,192,107.88119999999999,0.045256725864166125,0.14840277860521645
27,Social,Health and Safety,398,249.49709999999996,0.10466533426217395,0.4728970048146237
28,Social,Human Capital Development,279,119.7442,0.05023331621472399,0.17558528428093653
29,Social,Labor Management,773,479.53559999999993,0.20116768437233196,1.0
30,Social,Opportunities in Nutrition and Health,134,60.4502,0.02535917407142315,0.03972087464289023
31,Social,Privacy and Data Security,131,60.273900000000005,0.02528521530224138,0.03931690635909782
32,Social,Product Safety and Quality,504,258.21759999999995,0.10832362947856439,0.4928788846717523
33,Social,Responsible Investment,161,91.53659999999999,0.038400080947726095,0.11095127542158893
34,Social,Supply Chain Labor Standards,493,215.8488,0.0905496969787991,0.3957963468252173
