,Pillar,Key_issue,Doc_word,Count,Similarity,Weight
0,Environment,Biodiversity and Land Use,0.03333333333333333,6.971232049077473e-05,0.5145,3.5866988892503595e-05
1,Environment,Carbon Emissions,0.03333333333333333,2.3237440163591578e-05,0.5245,1.2188037365803783e-05
2,Environment,Climate Change Vulnerability,0.1,6.971232049077473e-05,0.59,0.00012339080726867129
3,Environment,Electronic Waste,0.06666666666666667,0.00011618720081795789,0.5871999999999999,0.00013645024864060974
4,Environment,Financing Environmental Impact,0.1,0.0006971232049077474,0.5695666666666667,0.001191174420225868
5,Environment,Opportunities in Clean Tech,0.03333333333333333,0.00016266208114514106,0.5407,8.795138727517776e-05
6,Environment,Opportunities in Green Building,0.06666666666666667,0.00013942464098154947,0.5353,0.00014926802063484687
7,Environment,Opportunities in Renewable Energy,0.0,0.0,0.0,0.0
8,Environment,Packaging Material and Waste,0.06666666666666667,6.971232049077473e-05,0.6144499999999999,8.566947065111306e-05
9,Environment,Product Carbon Footprint,0.0,0.0,0.0,0.0
10,Environment,Raw Material Sourcing,0.0,0.0,0.0,0.0
11,Environment,Toxic Emissions and Waste,0.06666666666666667,4.6474880327183155e-05,0.54035,5.0225403169586835e-05
12,Environment,Water Stress,0.0,0.0,0.0,0.0
13,Governance,Accounting,1.0,0.03467026072407864,0.57691,0.6000486034298462
14,Governance,Board,0.16666666666666666,0.0019519449737416927,0.6897,0.006731282241948228
15,Governance,Business Ethics,0.06666666666666667,0.005855834921225078,0.6978,0.008172403216061719
16,Governance,Ownership and Control,0.6333333333333333,0.007366268531858531,0.5900473684210527,0.0825824998838128
17,Governance,Pay,1.0,0.01910117581447228,0.6612066666666666,0.378894743691035
18,Governance,Tax Transparency,0.16666666666666666,0.0034623785843751454,0.6297,0.010901298972905146
19,Social,Access to Communications,0.3,0.001928707533578101,0.5968333333333333,0.01036005251661477
20,Social,Access to Finance,0.26666666666666666,0.009480875586745364,0.602325,0.04568454710229121
21,Social,Access to Health Care,0.23333333333333334,0.025747083701259468,0.5769428571428571,0.10398217223590647
22,Social,Chemical Safety,0.1,0.00016266208114514106,0.6374666666666666,0.00031107496398196776
23,Social,Community Relations,0.4666666666666667,0.004229214109773667,0.5672428571428572,0.033585880931356595
24,Social,Controversial Sourcing,0.0,0.0,0.0,0.0
25,Social,Financial Product Safety,0.03333333333333333,0.00011618720081795789,0.5189,6.028953850443835e-05
26,Social,Health and Demographic Risk,0.16666666666666666,0.018032253566947064,0.5823,0.05250090626016638
27,Social,Health and Safety,0.3333333333333333,0.022400892317702283,0.5851,0.13106762095087604
28,Social,Human Capital Development,0.03333333333333333,0.0016963331319421852,0.5586,0.0009475716875029047
29,Social,Labor Management,0.7666666666666667,0.014058651298972906,0.5860913043478261,0.18951202537528467
30,Social,Opportunities in Nutrition and Health,0.06666666666666667,0.00013942464098154947,0.526,0.00014667472231259004
31,Social,Privacy and Data Security,0.2,0.00397360226797416,0.6080166666666666,0.014496098433796532
32,Social,Product Safety and Quality,0.2,0.004136264349119301,0.5389833333333334,0.013376265278616907
33,Social,Responsible Investment,0.4,0.015034623785843752,0.5797,0.10458685690384348
34,Social,Supply Chain Labor Standards,0.06666666666666667,0.0008597852860528884,0.50705,0.000871908258586234
