,Pillar,Key_issue,Doc_word,Count,Similarity,Weight
0,Environment,Biodiversity and Land Use,0.06666666666666667,0.00017647889312438233,0.5298,0.00018699703515459554
1,Environment,Carbon Emissions,0.06666666666666667,3.529577862487647e-05,0.69575,4.9114075956515604e-05
2,Environment,Climate Change Vulnerability,0.03333333333333333,3.529577862487647e-05,0.5482,1.934914584215728e-05
3,Environment,Electronic Waste,0.13333333333333333,0.00042354934349851756,0.560025,0.0009487928843710292
4,Environment,Financing Environmental Impact,0.1,0.0005294366793731469,0.5695666666666667,0.0009046484540448961
5,Environment,Opportunities in Clean Tech,0.0,0.0,0.0,0.0
6,Environment,Opportunities in Green Building,0.06666666666666667,0.00017647889312438233,0.5353,0.0001889383029789637
7,Environment,Opportunities in Renewable Energy,0.0,0.0,0.0,0.0
8,Environment,Packaging Material and Waste,0.03333333333333333,3.529577862487647e-05,0.5136,1.812791190173655e-05
9,Environment,Product Carbon Footprint,0.06666666666666667,5.2943667937314695e-05,0.5738,6.075815332486234e-05
10,Environment,Raw Material Sourcing,0.1,0.0008118029083721587,0.5665333333333333,0.0013797402230693208
11,Environment,Toxic Emissions and Waste,0.06666666666666667,3.529577862487647e-05,0.66265,4.677749541154878e-05
12,Environment,Water Stress,0.03333333333333333,1.7647889312438234e-05,0.5031,8.878653113087675e-06
13,Governance,Accounting,0.8666666666666667,0.027018918537342933,0.5826076923076923,0.40927717421996324
14,Governance,Board,0.16666666666666666,0.0018000847098686996,0.6115,0.00550375900042355
15,Governance,Business Ethics,0.1,0.003564873641112523,0.6633333333333333,0.007094098545813921
16,Governance,Ownership and Control,0.8,0.009035719327968376,0.6013833333333333,0.13041434420443315
17,Governance,Pay,1.0,0.017736128759000422,0.6564666666666666,0.3492953197797543
18,Governance,Tax Transparency,0.13333333333333333,0.006812085274601158,0.6168750000000001,0.01680882041507836
19,Social,Access to Communications,0.2,0.00028236622899901174,0.5773833333333334,0.0009782013271212764
20,Social,Access to Finance,0.3333333333333333,0.007447409289848934,0.5900000000000001,0.043939714810108714
21,Social,Access to Health Care,0.1,0.0007765071297472822,0.5826333333333333,0.0013572568120852745
22,Social,Chemical Safety,0.03333333333333333,0.00010588733587462939,0.6567,6.953621346886912e-05
23,Social,Community Relations,0.36666666666666664,0.0013412395877453057,0.5595454545454546,0.008255329662572357
24,Social,Controversial Sourcing,0.03333333333333333,5.2943667937314695e-05,0.7556,4.0004235493434986e-05
25,Social,Financial Product Safety,0.03333333333333333,0.00010588733587462939,0.5189,5.4944938585345195e-05
26,Social,Health and Demographic Risk,0.13333333333333333,0.0018530283778060144,0.5837749999999999,0.0043270065650148236
27,Social,Health and Safety,0.3,0.00229422561061697,0.5712,0.011794155019059721
28,Social,Human Capital Development,0.03333333333333333,0.0008294507976845969,0.5586,0.0004633312155866158
29,Social,Labor Management,0.8333333333333334,0.012847663419455034,0.586896,0.18850605675561202
30,Social,Opportunities in Nutrition and Health,0.03333333333333333,1.7647889312438234e-05,0.5259,9.281024989411268e-06
31,Social,Privacy and Data Security,0.16666666666666666,0.0012000564732457999,0.6065400000000001,0.0036394112664125374
32,Social,Product Safety and Quality,0.16666666666666666,0.0016941973739940702,0.54016,0.004575688267683185
33,Social,Responsible Investment,0.4666666666666667,0.012512353522518707,0.5746214285714286,0.10065813038260625
34,Social,Supply Chain Labor Standards,0.06666666666666667,0.00040590145418607933,0.50705,0.00041162466469010306
