,Pillar,Key_issue,Doc_word,Count,Similarity,Weight
0,Environment,Biodiversity and Land Use,0.0,0.0,0.0,0.0
1,Environment,Carbon Emissions,0.03333333333333333,2.162489457863893e-05,0.5245,1.1342257206496118e-05
2,Environment,Climate Change Vulnerability,0.06666666666666667,2.162489457863893e-05,0.5860000000000001,2.534437644616483e-05
3,Environment,Electronic Waste,0.06666666666666667,0.00012974936747183358,0.55015,0.0001427632290292585
4,Environment,Financing Environmental Impact,0.13333333333333333,0.0006703717319378068,0.5849,0.0015684017040416927
5,Environment,Opportunities in Clean Tech,0.06666666666666667,0.0006919966265164458,0.5396,0.0007468027593365483
6,Environment,Opportunities in Green Building,0.03333333333333333,8.649957831455572e-05,0.5313,4.595722595852345e-05
7,Environment,Opportunities in Renewable Energy,0.03333333333333333,1.0812447289319465e-05,0.6826,7.380576519689466e-06
8,Environment,Packaging Material and Waste,0.06666666666666667,0.0001513742620504725,0.62025,0.00018777977207361113
9,Environment,Product Carbon Footprint,0.0,0.0,0.0,0.0
10,Environment,Raw Material Sourcing,0.06666666666666667,4.324978915727786e-05,0.56795,4.9127435503751916e-05
11,Environment,Toxic Emissions and Waste,0.06666666666666667,0.00016218670933979196,0.54035,0.00017527517678351317
12,Environment,Water Stress,0.03333333333333333,7.568713102523626e-05,0.6433,4.868953138853448e-05
13,Governance,Accounting,1.0,0.019635404277404147,0.5807733333333334,0.34211157580606794
14,Governance,Board,0.13333333333333333,0.001492117725926086,0.6440250000000001,0.0038438444737581906
15,Governance,Business Ethics,0.06666666666666667,0.0025084877711221156,0.6978,0.0035008455333780243
16,Governance,Ownership and Control,0.8,0.011061133576973812,0.5936166666666667,0.1575857578444305
17,Governance,Pay,1.0,0.017732413554483923,0.6691166666666667,0.355951603485933
18,Governance,Tax Transparency,0.23333333333333334,0.004314166468438466,0.6081285714285715,0.018364975239495707
19,Social,Access to Communications,0.3333333333333333,0.0008433708885669183,0.62892,0.005304128192375062
20,Social,Access to Finance,0.5,0.010455636528771923,0.5818733333333334,0.09125784118677421
21,Social,Access to Health Care,0.13333333333333333,0.0020111151958134206,0.56975,0.004583331531258786
22,Social,Chemical Safety,0.06666666666666667,0.0001838116039184309,0.6894,0.00025343943948273254
23,Social,Community Relations,0.36666666666666664,0.002140864563285254,0.5658272727272727,0.01332495512834375
24,Social,Controversial Sourcing,0.03333333333333333,2.162489457863893e-05,0.7556,1.6339770343619576e-05
25,Social,Financial Product Safety,0.03333333333333333,4.324978915727786e-05,0.5189,2.2442315593711483e-05
26,Social,Health and Demographic Risk,0.13333333333333333,0.005179162251584024,0.58695,0.01215963713426897
27,Social,Health and Safety,0.3,0.005373786302791774,0.5734444444444445,0.027734111108708347
28,Social,Human Capital Development,0.03333333333333333,0.002951798109984214,0.5586,0.0016488744242371819
29,Social,Labor Management,0.6,0.007828211837467292,0.5826777777777777,0.08210385139372443
30,Social,Opportunities in Nutrition and Health,0.03333333333333333,4.324978915727786e-05,0.5259,2.274506411781243e-05
31,Social,Privacy and Data Security,0.2,0.00383841878770841,0.6080166666666666,0.01400293557943905
32,Social,Product Safety and Quality,0.16666666666666666,0.0014704928313474472,0.54016,0.003971507038903185
33,Social,Responsible Investment,0.5333333333333333,0.054570421469195336,0.579575,0.5060424323681422
34,Social,Supply Chain Labor Standards,0.03333333333333333,0.00012974936747183358,0.5129,6.654845057630344e-05
